adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/p5ozvmdgsmbWe0H8Xk7Rc8SCwAB.jpg,"[16, 12, 35, 10751]",1022789,en,Inside Out 2,睽違9年《腦筋急轉彎》正宗續集終於來啦! 皮克斯 2024最新動畫《腦筋急轉彎2》故事跟著萊莉來到了令人聞風喪膽的青春期，除了最受觀眾喜愛的情緒主角樂樂、憂憂、怒怒、厭厭、驚驚再度登場，更深入探索踏上青春期的萊莉內心，全新情緒角色也將全面解鎖，即將隨著她的嶄新生活一一登場，但一場「腦內革命」也無可避面地隨之爆發! 萊莉的內心世界再度陷入空前危機，樂樂和大夥們因而展開全新旅程，勢必奪回主控權讓大腦能順利升級…,43.6437,/tVSFt0tDsbvVw0DxAkknyq3ClQB.jpg,2024-06-11,腦筋急轉彎2,False,7.553,5892
False,/lS49jyUZg9xHfelHMsmL3o3H6rq.jpg,"[35, 27, 14]",1112466,fr,Les femmes au balcon,高溫熱浪強襲法國馬賽，倦婚人妻、多情作家與豪放直播主，閨蜜三人在公寓陽台聚會乘涼，放肆坦露生活大小事外，更不時幻想與對街型男鄰居來場驚喜邂逅。一次偶然巧合，三人意外獲邀赴型男鄰居家一敘，才發現對方竟是環遊世界的知名攝影師，而他質感滿分的夢幻公寓更令人目眩神迷。然而，在一夜歡愉後，原本的浪漫奇緣卻驟然變調成懸疑命案……。,41.8704,/a67iMOi1iPRw1g7Kw67C82YfkKd.jpg,2024-11-15,陽台上的壞女孩,False,6.5,55
False,/kYgQzzjNis5jJalYtIHgrom0gOx.jpg,"[16, 10751, 28, 35, 12, 14]",1011985,en,Kung Fu Panda 4,神龍大俠阿波（金球獎入圍者傑克布萊克 飾）憑著無人能及的勇氣和武功，在三次驚險萬分的冒險中打敗了世界級的大壞蛋，現在命運安排他要……休息一下。更明確的說，他被選為和平谷的精神領袖。這帶來了幾個明顯的問題。首先，阿波根本不知道精神領袖要做什麼；再來，他必須趕緊找到並訓練下一位神龍大俠，才能擔任這個新的崇高職位。  更糟的是，最近有人看到邪惡又強大的犯罪首領變色龍（奧斯卡獎得主薇拉戴維斯 飾），這隻小小蜥蜴可以隨心所欲的變身成任何大小的動物，她肖想得到阿波的智慧之杖，只要有了這個寶貝，就能重新召喚所有被阿波擊敗的大魔王。  因此，阿波需要幫手。這時狡猾又機智的小偷小真（金球獎得主奧卡菲娜 飾）出現了，這隻沙狐經常惹毛阿波，但她高超的技巧總是派得上用場。這對歡喜冤家必須同心協力，保衛和平谷遠離變色龍的魔掌。在這個過程中，阿波也將發現，英雄可能會在最意想不到的地方現身。,41.6402,/v9sk7CPhDXJKSkQIegVSBQ5nJnV.jpg,2024-03-02,功夫熊貓 4,False,7.1,3099
False,/pkZ8SaIQwjBuS1fcJJE7Are7IrL.jpg,"[878, 35, 12]",696506,en,Mickey 17,故事講述了一個出乎意料的英雄米奇巴恩斯（羅伯派汀森飾），他發現自己陷入了一個極不尋常的處境：為了完成僱主的要求，他必須不斷經歷死亡，才能換取生存。,39.2141,/nxurv5ccvnqqz7WRTBMvV9ZARS0.jpg,2025-02-28,米奇17號,False,6.898,2141
False,/9riMLH4EOw6PZzeCDnPlIGSyiEu.jpg,"[10402, 35, 10749]",3080,en,Top Hat,《禮帽》（英語：Top Hat，香港譯《雲冕霓裳》）是一部1935年的美國脫線歌舞喜劇電影，由雷電華電影公司製作。主演是佛烈·雅士提和琴吉·羅傑斯，音樂則由歐文·柏林製作。電影在票房和評價上都取得了巨大的成功，並且被選入AFI百年百大歌舞電影。,37.6089,/qoPBiN6PBs2NsP7BNOJGCnmwruG.jpg,1935-08-29,禮帽,False,7.3,300
False,/f5afU9XaUuPxrHcYm2hc87C2dnt.jpg,"[16, 35, 10751, 10770]",21316,en,Leroy & Stitch,本片敘述 Lilo 和 Stitch 完成尋找所有外星實驗品的任務，終於要分離了，Stitch 與來自太空的 Jumba 和 Pleakley 共同返回外太空，然而沒想到這時候又冒出一個新的邪惡實驗品 Leroy，這是邪惡的 Hamsterwheel 博士脅迫 Jumba 新製造的，並還還複製成一整批軍隊，Hamsterwheel 準備用它來顛覆宇宙，但也因為這事件讓 Lilo 和 Stitch 再度重聚，再一次他們攜手同心，共同面對這最後的終極任務，粉粹壞蛋利用實驗品搞破壞的陰謀。,36.2367,/8ddTcTllI5U1Gq2EvGYE2CBprOS.jpg,2006-06-23,星際寶貝：終極任務,False,6.6,556
False,/wCHJuJwEfOrrykgDas8T4m79Bzs.jpg,"[18, 35, 36]",369192,en,Battle of the Sexes,劇情講述 1973 年女子網球選手 比利簡金與 Bobby Riggs 的跨性別網球大戰，最後獲勝的是金，這場比賽有著非常重要的時代意義，也讓女性的自尊獲得更大的展現。Steve Carell 與 Emma Stone 將合作影片《性別戰爭》，影片會由《小太陽的願望》的導演喬納森·戴頓與維萊莉·法瑞斯執導。,35.3084,/6RDXHImPeIZtaLdFOk3ZfJYnJYY.jpg,2017-09-22,勝負反手拍,False,6.8,1881
False,/tHS6YBTUwxWzoPiIxMScRCBCGQ4.jpg,"[16, 12, 35]",1323853,es,Norbert,,33.9207,/9kUC13Ssxfjlc8leD7QpELCDlDU.jpg,2025-01-17,Norbert,False,5.9,8
False,/iEr3i8Qsaun2hRHUy7WH0gmfJBf.jpg,"[35, 12, 10751, 16, 878]",15567,en,Stitch! The Movie,。本片的劇情接續原本電影，敘述在 Stitch 這個「６２６號實驗品」之前，Jumba 博士已有好幾個失敗實驗產物，如今 Jumba 居然把這些實驗產物全都偷偷走私到地球，心懷不軌的越獄者 Hamsterwheel 和被開除而懷恨在心的 Gantu 艦長聯手，綁架了 Jumba 博士，並且要去尋回之前的６２５個實驗品，再次創造出全新的小魔星。這些稀奇古怪的星際寶貝實驗品包括能發出強力電波的第２２１號實驗品、懶惰但卻能做出美味三明治的第６２５號實驗品…等。如今，夏威夷七歲小女孩 Lilo 和星際寶貝 Stitch 要協助星際聯盟，開始在夏威夷群島作地毯式搜索，搶先在壞蛋前找到６２５個實驗品，並且還要幫這些星際寶貝都找到各自溫暖的家！,33.7456,/flwMGZcOO80lqsnZ6lIwsKja5N.jpg,2003-09-10,星際寶貝史迪奇,False,6.435,726
False,/qocKcY8QVgWiG4HKD7CP5yApXDr.jpg,"[12, 35]",1137350,en,The Phoenician Scheme,這是關於一個家族和一個家族企業的故事，班尼西歐戴托羅飾演商業大亨安納托“賈賈”寇達，歐洲最有錢的富豪之一；米亞薛波頓飾演莉絲兒修女，他的獨生女/一名修女；麥可塞拉飾演比約恩蘭德，他們的家教。豪華的演員陣容還包括湯姆漢克斯、布萊恩克雷斯頓、里茲阿邁德、馬修亞瑪希、傑佛瑞萊特、史嘉蕾喬韓森、理查艾尤德、魯柏佛蘭德、琥珀戴維絲以及班尼迪克康柏拜區。,32.9926,/cSKmIEgbBC0Svt1OhpwDEzb4gz8.jpg,2025-05-23,腓尼基計劃,False,6.914,116
False,/dXoBFj9Yl9HDRcDVQubkuVCh26N.jpg,"[28, 35]",1160956,zh,熊猫计划,超萌超可愛的熊貓幼崽呼呼被國際功夫巨星Jackie（成龍 飾）認養，滿心期待開啓新生活。然而，呼呼獨有的“大小眼”特別基因卻被國際犯罪組織盯上了，組織首領不惜懸賞雇傭兵一億美金發起了一場熊貓搶奪戰。面對突如其來的危機，新晉奶爸Jackie怎能袖手旁觀？他聯手金牌經紀人（魏翔 飾）與熊貓保育員（史策 飾）全力展開營救！萬萬沒想到……這群反派好像不太聰明，一場驚險刺激卻又荒誕可笑的守“呼”行動就此開啓。,32.9724,/rO62kjEpxKoi22euZlM11o2hRJe.jpg,2024-10-01,熊貓計劃,False,6.9,195
False,/8FmvRL0XPAdCFRs4w2wcYBwuKUO.jpg,[35],1233620,es,"¡Qué Huevos, Sofía!",,32.437,/6On03YOhaiQfsVkE0Amw3LVs1mE.jpg,2025-02-27,"¡Qué Huevos, Sofía!",False,8.577,26
False,/sRvXNDItGlWCqtO3j6wks52FmbD.jpg,"[16, 35, 14, 12, 10751]",808,en,Shrek,本片根據威廉史泰格的童書改編，很久很久以前，有一個憤世嫉俗、茍不言笑的綠色巨人史瑞克，一個人孤零零地住在遙遠的沼澤裡，有一天一大堆惹人厭的童話故事人物突然打亂他平靜的生活，他吃的食物有瞎了眼的小老鼠，床上躺了一隻大野狼，家裡來了三隻房子被吹倒的小豬仔，這些童話人物通通都是被邪惡的法克大人給趕來。  他為了拯救這些童話人物，還有他自己的家，於是就和法克大人談了一個條件，他必須把美麗的費歐娜公主救出來，嫁給法克大人，他在路上找到一個講起話來喋喋不休、口若懸河的驢子，他什麼都肯為史瑞克做，就是不肯乖乖閉嘴。但是當他發現美麗的公主竟然深藏了一個可怕的秘密，事情就變得更複雜了。,31.6105,/xCdATOO6ZTeGl7Mv9TvZ3lgCEwM.jpg,2001-05-18,史瑞克,False,7.752,17714
False,/tEYZpXr8a5L8lsUVVxNvpsquKAA.jpg,"[53, 35]",1244890,en,Sharp Corner,,31.233,/zwWRNLmeMzeNgHaPKWcGv0UYlZL.jpg,2025-05-09,Sharp Corner,False,6.1,13
False,/5MnP0h7RcUCeX7gpxMYoMScmfq7.jpg,"[14, 28, 12, 16, 35, 10751]",82702,en,How to Train Your Dragon 2,在博克島（Berk Island）的維京居民們和龍族和平相處了五年之後，龍已經成為了和人們一起居住的好夥伴。他們不僅幫助人們工作，賽龍甚至還成為了島上最受歡迎的一項運動。主角小嗝嗝（Hiccup）和他的龍——無牙（Toothless）則在閒暇時四處探索未知的土地。他的父親——族長史圖伊克（Stoick），卻也因為小嗝嗝年紀的增長而逐漸向他施壓，希望他能夠準備好繼承並承擔自己身為首領的身分和責任。,30.9814,/vYQsThTi4S38qpToNf3a2nIXRYq.jpg,2014-06-05,馴龍高手2,False,7.7,9838
