title,overview,vote_average,genre_ids,genre_names,context
星際寶貝：史迪奇,因家庭破碎而深感孤單的夏威夷「人類小女孩」莉蘿，與逃離邪惡主人並降臨地球的藍色外星人、卻有酷似無尾熊超可愛外表的史迪奇一拍即合，除了鬧出一連串與地球格格不入的笑話，也在彼此身上找到前所未有的友情與依靠，爆笑又感人的故事十分引人入勝！,7.049,"[10751, 35, 878]","['家庭', '喜剧', '科幻']",輕鬆
MINECRAFT麥塊電影,四位邊緣人「垃圾人」蓋瑞森(傑森摩莫亞 飾)、亨利(賽巴斯汀尤金漢森 飾)、娜塔莉(愛瑪梅耶斯 飾)和譚恩(丹妮爾布魯克斯 飾)，突然被拉進一個神祕入口，進入充滿想像力又古怪的方塊仙境「主世界」中。為了回家，他們必須設法掌控這個世界，並與專業蓋房人史蒂夫(傑克布萊克 飾)，並一同踏上神奇的探索之旅。此趟冒險旅程將挑戰他們五人的勇氣，並重新激發他們每個人具有獨特創造力的特質，而這些正是他們返回現實世界成長茁壯所需的技能。,6.491,"[10751, 35, 12, 14]","['家庭', '喜剧', '冒险', '奇幻']",輕鬆
醜陋的繼妹,艾爾維拉在一個美麗至上的王國中與她美麗的繼妹戰鬥。在殘酷的完美身材競爭中，她採取極端手段來擄獲王子的心。這是一個對經典《灰姑娘》故事的扭曲演繹。,7.021,"[27, 35, 14, 18]","['恐怖', '喜剧', '奇幻', '剧情']",其他
自殺突擊隊：集結,歡迎來到地獄—全美死亡率最高的「美夢監獄」。那裡關押著最兇惡的超級反派，他們為了逃離該處願意付出任何代價，甚至不惜加入超級神祕又黑幕重重的X特遣隊。這次九死一生的任務是什麼呢？首先結集「血腥運動」、「和平使者」、「迴旋鏢隊長」、「捕鼠人2」、「智者」、「鯊魚王」、「黑色守衛」、「標槍」，以及大家最喜歡的精神病患「哈莉奎茵」等一幫罪犯，給他們配上最精良的重裝武器，再把他們扔…請注意真的是用扔的，到與世隔絕又布滿敵軍的柯多瑪堤小島。他們徒步穿越每個角落都藏滿敵對兵力和武裝傭兵的叢林，突擊隊員在瑞克佛萊格上校一人隨行並帶領管束下，執行著搜索及摧毀的任務…  阿曼達華勒的政府技工則從耳機裡提點監控，全程緊迫盯人。與往常一樣，他們只要踏錯一步就會屍骨無存（無論是死於敵方的手下、自己隊友的暗算，或是華勒的親自下令）。若真要下注賭個輸贏，明智的選擇絕對是押他們落敗，全軍覆沒。,7.5,"[28, 35, 12]","['动作', '喜剧', '冒险']",其他
星際寶貝,故事開始於強霸博士（Dr. Jumba Jookiba）的實驗，它製造了626個非法的基因實驗生物，因而遭到監禁。當強霸所製造的實驗生物正透過鋼圖艦長（Captain Gantu）運送到一個廢棄的星球時，626號實驗，一個外貌類似狗的生物逃離至了外太空，並前往地球。星際議長（The Grand Councilwoman）知道後，就派出了強霸博士和獨眼霹靂（Agent Pleakley）一起合作，前往地球捕捉626。626在太空船逃離的過程中墜落在夏威夷，雖然存活下來但是卻被一台卡車輾過而失去意識，於是被誤認為一種狗，送到了一家寵物店。,7.55,"[16, 10751, 35]","['动画', '家庭', '喜剧']",輕鬆
山之巔,一群億萬富翁好友在一場席捲全球的危機背景下聚首。,5.628,"[18, 35]","['剧情', '喜剧']",其他
一拳鮮師：勇敢的市民,約聘教師市民（申惠善 飾）為了成為正式教師，而選擇對不義之事視而不見、假裝自己毫無脾氣，想裝弱小安靜度日。但某天，她卻目睹了無法無天的惡霸秀鋼（李濬榮 飾）越界的行為。市民無法再忍受不斷為非作歹的秀鋼，她下定決心要隱藏自己的身分，給秀鋼痛快的一擊……,6.8,"[28, 18, 35]","['动作', '剧情', '喜剧']",其他
海洋奇緣2,影片敘述莫娜在與合作無間的毛伊展開浩瀚無際的冒險航程三年後，再度受到為她指路的祖先們召喚，令她必須展開一場遠渡大洋洲並深入前所未知的危險水域、迎向更勝以往的偉大冒險，並企圖聯繫四散汪洋的族人！,7.1,"[16, 12, 10751, 35]","['动画', '冒险', '家庭', '喜剧']",輕鬆
弒婚遊戲,葛雷絲（Samara Weaving  飾），嫁入一個以桌游發跡致富的豪門—拉多馬斯家族，但這個家族有個怪異的傳統，就是每當家族有新成員加入，他們必須參與家族的傳統遊戲，從一疊牌中抽出一張被指定的遊戲，而剛入豪門的葛雷絲完全在狀況外，直到新婚之夜，他的新婚丈夫艾利克斯（Mark O'Brien 飾）才告訴她這個傳統，面對這詭異的一家人，葛雷絲就在半推半就的情況下配合演出，萬萬沒想到自己抽中最可怕的「捉迷藏」遊戲，她需要在天亮前安靜躲在這豪宅某處不被發現，但遊戲並不如表面上看來單純，在遊戲開始沒多久後，葛蕾絲就驚恐地意識到，這是場致命的血腥獵殺遊戲，而她就是獵物。在生理與心理上都被推到極限的狀態下，葛蕾絲必須拿出渾身解數，她不只要存活下來，並且要全力反擊！,7.0,"[27, 35]","['恐怖', '喜剧']",其他
畢旅失控趴：疫起嗨翻天,2021年，經歷一年的疫情封城後，一群學生前往馬約卡島畢業旅行。這個完美的計畫不僅要彌補那段不能出門的日子，還要盡情狂歡。然而，一場新冠疫情爆發，打亂了他們的計畫，迫使他們關在飯店裡。超過50個學生關在一家飯店，只有兩個老師，還有數不清的小冰箱。這會出什麼亂子呢？,5.5,[35],['喜剧'],其他
